Ref	Pos	Value	ReadCount
JN555585+	9117	0.059383210468587466	0.0
JN555585+	9118	0.02893028202316676	0.0
JN555585+	9119	0.01401776551637216	0.0
JN555585+	9120	0.006754674575249678	0.0
JN555585+	9121	0.0032366149006402933	0.0
JN555585+	9122	0.0015420521254359452	0.0
JN555585+	9123	7.30445743627564E-4	0.0
JN555585+	9124	3.439665141949048E-4	0.0
JN555585+	9125	1.6100560238915804E-4	0.0
JN555585+	9126	7.490634977462763E-5	0.0
JN555585+	9127	3.4634118712995164E-5	0.0
JN555585+	9128	1.5912973462731603E-5	0.0
JN555585+	9129	3.632309159970407E-6	0.0
JN555585+	9130	3.2948815330885126E-6	0.0
JN555585+	9131	1.484507064358254E-6	0.0
JN555585+	9132	6.64337415541709E-7	0.0
JN555585+	9133	2.9526107357396116E-7	0.0
JN555585+	9134	1.3031075314163676E-7	0.0
JN555585+	9135	5.7102464859818916E-8	0.0
JN555585+	9136	2.484118527800596E-8	0.0
JN555585+	9137	5.363437730476785E-9	0.0
JN555585+	9138	4.597232340409012E-9	0.0
JN555585+	9139	1.955144788450455E-9	0.0
JN555585+	9140	8.250032922360614E-10	0.0
JN555585+	9141	3.453502153545731E-10	0.0
JN555585+	9142	1.43391025088784E-10	0.0
JN555585+	9143	5.904336327185428E-11	0.0
JN555585+	9144	5.904336327185428E-11	0.0
JN555585+	9145	1.3031075314163676E-7	0.0
JN555585+	9146	6.64337415541709E-7	0.0
JN555585+	9147	2.9526107357396116E-7	0.0
JN555585+	9148	3.632309159970407E-6	0.0
JN555585+	9149	3.2948815330885126E-6	0.0
JN555585+	9150	1.484507064358254E-6	0.0
JN555585+	9151	6.64337415541709E-7	0.0
JN555585+	9152	2.9526107357396116E-7	0.0
JN555585+	9153	1.484507064358254E-6	0.0
JN555585+	9154	1.484507064358254E-6	0.0
JN555585+	9155	6.64337415541709E-7	0.0
JN555585+	9156	6.64337415541709E-7	0.0
JN555585+	9157	2.9526107357396116E-7	0.0
JN555585+	9158	1.3031075314163676E-7	0.0
JN555585+	9159	5.7102464859818916E-8	0.0
JN555585+	9160	5.7102464859818916E-8	0.0
JN555585+	9161	2.484118527800596E-8	0.0
JN555585+	9162	5.363437730476785E-9	0.0
JN555585+	9163	5.363437730476785E-9	0.0
JN555585+	9164	4.597232340409012E-9	0.0
JN555585+	9165	1.955144788450455E-9	0.0
JN555585+	9166	1.955144788450455E-9	0.0
JN555585+	9167	8.250032922360614E-10	0.0
JN555585+	9168	3.453502153545731E-10	0.0
JN555585+	9169	1.43391025088784E-10	0.0
JN555585+	9170	5.904336327185428E-11	0.0
JN555585+	9171	5.904336327185428E-11	0.0
JN555585+	9172	3.453502153545731E-10	0.0
JN555585+	9173	1.43391025088784E-10	0.0
JN555585+	9174	1.43391025088784E-10	0.0
JN555585+	9175	1.43391025088784E-10	0.0
