Reference (Strand)	Position	Read-count	zScore-DS	zScore-US	zScore
JN555585-	112131	278.0	3.0363307990207207	2.3486853108259336	2.3486853108259336
JN555585-	115845	254.0	3.219332023006743	3.9172811118348507	3.9172811118348507
JN555585-	60550	195.0	2.2385395995876465	2.6210898728777576	2.6210898728777576
JN555585-	115847	109.0	2.391661912451198	2.9965366264109417	2.9965366264109417
JN555585-	60551	204.0	2.307460889192225	2.7182491795894355	2.7182491795894355
JN555585-	60552	257.0	2.57024256055046	2.923626682127773	2.923626682127773
JN555585-	65675	102.0	2.6371027570106924	2.745869202748924	2.745869202748924
JN555585-	65674	89.0	2.4664650886107	2.6383039272849294	2.6383039272849294
JN555585-	135305	171.0	3.2269888339898403	2.3777246264501226	2.3777246264501226
JN555585-	41613	130.0	3.8506568931218386	3.3953791937047195	3.3953791937047195
JN555585-	41615	51.0	2.9592010111637435	2.4431856316958918	2.4431856316958918
JN555585-	90129	21.0	2.1392589197749334	2.087143902179113	2.087143902179113
JN555585-	33813	31.0	2.150026010658074	2.430549794417834	2.430549794417834
JN555585-	33814	47.0	2.5805911859358144	2.8080089558367076	2.8080089558367076
JN555585-	124054	209.0	2.1148516121550522	2.7378053639365083	2.7378053639365083
JN555585-	130841	199.0	2.2118439291818164	2.342992965109956	2.342992965109956
JN555585-	130840	405.0	2.899652646472445	3.083693045409733	3.083693045409733
JN555585-	25498	216.0	2.7523831230844245	2.204517524560382	2.204517524560382
JN555585-	130843	221.0	2.35343769535335	2.387192641020005	2.387192641020005
JN555585-	130842	275.0	2.5515961137530434	2.637466686409509	2.637466686409509
JN555585-	108956	134.0	2.0758258056148904	2.1678171225244434	2.1678171225244434
JN555585-	130844	211.0	2.331193598265386	2.3116291021825233	2.3116291021825233
JN555585-	85411	38.0	2.2201348247510024	2.3056446542887232	2.3056446542887232
JN555585-	45732	144.0	2.0126007064713276	2.211897547262636	2.211897547262636
JN555585-	78885	79.0	2.0707827615051766	2.3754620718217447	2.3754620718217447
JN555585-	85413	54.0	2.6187186605121644	2.5818193879116835	2.5818193879116835
JN555585-	27045	242.0	3.68555334231195	2.908294867771399	2.908294867771399
JN555585-	45733	201.0	2.365651973240375	2.5182615316106154	2.5182615316106154
JN555585-	47909	721.0	3.8653387171136884	2.944409670531707	2.944409670531707
JN555585-	85412	61.0	2.698041747342639	2.73221172001094	2.73221172001094
JN555585-	120996	282.0	2.064074043271438	2.4411787714719084	2.4411787714719084
JN555585-	45734	143.0	2.045726051007563	2.1512883353246712	2.1512883353246712
JN555585-	119591	31.0	2.8887928818305784	2.6175224500000933	2.6175224500000933
JN555585-	105257	1264.0	2.9939479170672367	2.1640706182724863	2.1640706182724863
JN555585-	43562	36.0	2.523615712058951	2.299589728471558	2.299589728471558
JN555585-	106538	823.0	2.777197119636342	2.7534540978849718	2.7534540978849718
JN555585-	59436	151.0	2.7303895929574633	2.4758305158611034	2.4758305158611034
JN555585-	106541	800.0	2.8115406336311213	2.6692444667324526	2.6692444667324526
JN555585-	19634	118.5	2.975692514853784	2.8530141765607624	2.8530141765607624
JN555585-	16563	18.0	2.0267362105365407	2.020422994603316	2.020422994603316
JN555585-	64565	62.0	2.6158163704064727	2.2961115128847664	2.2961115128847664
JN555585-	130996	311.0	2.772186664372273	2.561412743439296	2.561412743439296
JN555585-	24631	168.0	3.131378107442724	2.152038442121076	2.152038442121076
JN555585-	115642	40.0	2.1476055111705348	2.079858284659926	2.079858284659926
JN555585-	29246	32.0	2.261564832862418	2.0258663061574693	2.0258663061574693
JN555585-	124993	22.0	2.3991076733834196	2.1855671856297536	2.1855671856297536
JN555585-	78784	54.0	2.0007686223803347	2.0096079023542845	2.0096079023542845
JN555585-	123840	118.0	2.2237498766499315	2.0202149807384298	2.0202149807384298
JN555585-	131267	234.0	2.8493415274362524	2.520146050926461	2.520146050926461
JN555585-	132288	45.0	2.499914190885031	2.399128571148697	2.399128571148697
JN555585-	116037	41.0	2.3229690275361703	2.0077461036885422	2.0077461036885422
JN555585-	127685	296.0	2.414302320359891	2.52499419125136	2.52499419125136
JN555585-	9285	14.0	2.0618259826293155	2.4121660150994133	2.4121660150994133
JN555585-	127684	221.0	2.106213230565124	2.2593162588055464	2.2593162588055464
JN555585-	20679	53.0	2.6228271354179364	2.9498511016247093	2.9498511016247093
JN555585-	124621	81.0	3.3624475745620375	2.5864716024948744	2.5864716024948744
JN555585-	91468	101.0	2.029289296178799	2.8984601903202707	2.8984601903202707
JN555585-	72271	13.0	2.150359752810411	2.095793322498907	2.095793322498907
JN555585-	124622	312.0	4.7437170256975945	4.061589209564394	4.061589209564394
JN555585-	131405	171.0	2.968973615376435	2.594676122927079	2.594676122927079
JN555585-	131661	35.0	2.084058625652207	2.0802245371627515	2.0802245371627515
JN555585-	92753	171.0	3.145504818531503	2.133533781934509	2.133533781934509
JN555585-	112081	141.0	2.099768858263577	2.2829344051525458	2.2829344051525458
JN555585-	124624	153.0	3.6837622198744944	3.321909314529103	3.321909314529103
JN555585-	85202	73.0	2.848237182836494	2.8045546952153835	2.8045546952153835
JN555585-	34133	45.0	2.5790288369009127	2.69645579087013	2.69645579087013
JN555585-	134238	56.0	2.076941149835415	2.2092102133471867	2.2092102133471867
JN555585-	124255	560.0	3.4988568381309717	2.541414633660529	2.541414633660529
JN555585-	69219	77.0	2.9575154998292263	2.2082600716561838	2.2082600716561838
JN555585-	131429	164.0	2.723456357256451	2.0152660163785523	2.0152660163785523
JN555585-	132845	47.0	2.2370012324346913	2.4040063538496383	2.4040063538496383
JN555585-	25329	182.0	2.1107286547959987	2.317534094747262	2.317534094747262
JN555585-	22770	29.0	2.0863662869549993	2.0330355564385707	2.0330355564385707
JN555585-	131958	40.0	2.3985516634301876	2.58386848882769	2.58386848882769
JN555585-	34038	28.0	2.1935830814595314	2.1011843999082913	2.1011843999082913
JN555585-	120439	27.0	2.429609163047638	2.0904088444498994	2.0904088444498994
JN555585-	144884	2434.0	2.463310663182515	2.316440733629495	2.316440733629495
JN555585-	26615	355.0	3.3646740107651767	2.6969450418414724	2.6969450418414724
JN555585-	31607	657.0	4.095230080689162	3.231456286312101	3.231456286312101
JN555585-	109302	142.0	2.421384838916262	2.353314606095518	2.353314606095518
JN555585-	31610	163.0	2.5401735809728754	2.043606694943867	2.043606694943867
JN555585-	139644	27.0	2.520775243064567	2.429673253239229	2.429673253239229
JN555585+	92934	2067.0	3.3719765236016963	5.591811737437398	5.591811737437398
JN555585+	92936	589.5	2.1589506120412514	3.9788468455137376	3.9788468455137376
JN555585+	68621	39.0	2.3692700687602857	2.4881680258412358	2.4881680258412358
JN555585+	31758	13.0	2.1099529037883222	2.0368124827920218	2.0368124827920218
JN555585+	60178	30.0	2.2164808988596505	2.447974189350599	2.447974189350599
JN555585+	135193	21.0	2.0117044685342647	2.131078368989221	2.131078368989221
JN555585+	136734	342.0	3.546049417340678	4.681190543550372	4.681190543550372
JN555585+	9245	161.0	2.4076550974184663	4.039449511703051	4.039449511703051
JN555585+	136735	140.0	2.676313582296894	3.740254499221126	3.740254499221126
JN555585+	136736	160.0	2.823279700527985	3.8240485555619004	3.8240485555619004
JN555585+	132129	4104.0	3.4394633293780776	6.621735043595639	6.621735043595639
JN555585+	34085	25.0	2.033778613039901	2.093301320665197	2.093301320665197
JN555585+	47407	73.0	2.852365653010799	3.3222777410046382	3.3222777410046382
JN555585+	68144	40.0	2.176123741028346	2.0605762584211678	2.0605762584211678
JN555585+	134966	45.0	2.7801989813264014	2.9132121994015687	2.9132121994015687
JN555585+	69441	784.0	4.006599652672767	5.0708839694303585	5.0708839694303585
JN555585+	69443	112.0	2.0897120473013584	2.9342149335326235	2.9342149335326235
JN555585+	96841	553.0	2.0544774253132845	2.254447250693026	2.254447250693026
JN555585+	87883	189.0	2.3026569311058944	2.096327344478002	2.096327344478002
JN555585+	106829	254.0	2.5616548358509026	4.344061177243221	4.344061177243221
JN555585+	121164	69.0	2.3835259780876545	2.1924218521417687	2.1924218521417687
JN555585+	106831	174.0	2.2453110356694035	3.899551424052442	3.899551424052442
JN555585+	106833	435.0	3.203543256681982	4.726052377949989	4.726052377949989
JN555585+	14929	62.0	2.298687898870737	2.051371905121726	2.051371905121726
JN555585+	115027	140.0	2.5057798522374193	2.5568827886723393	2.5568827886723393
JN555585+	55892	13.0	2.046276220358459	2.2573366024510477	2.2573366024510477
JN555585+	70485	515.0	2.47995051685252	3.3053297838243694	3.3053297838243694
JN555585+	119126	33.0	2.175909030510013	2.0343706231428333	2.0343706231428333
JN555585+	118617	26.0	2.0485858208544094	2.223092799907824	2.223092799907824
JN555585+	70488	439.0	2.349335469970022	3.0867059550988523	3.0867059550988523
JN555585+	35930	16.0	2.0444104940959433	2.157763196677245	2.157763196677245
JN555585+	110175	41.0	2.470162545948593	2.437843708407934	2.437843708407934
JN555585+	13667	105.0	2.3226976293869885	2.2619589730538983	2.2619589730538983
JN555585+	138342	404.0	2.226640454989005	3.774424184032998	3.774424184032998
JN555585+	138341	863.0	2.961191661732964	4.9544568623733625	4.9544568623733625
JN555585+	138090	61.0	2.353750338310161	2.8114715748214767	2.8114715748214767
JN555585+	44394	19.0	2.040014516196983	2.260486257325609	2.260486257325609
JN555585+	138345	840.0	3.006121940477858	3.805143582142865	3.805143582142865
JN555585+	60273	33.0	2.4071901704791987	2.2729382175819524	2.2729382175819524
JN555585+	141171	290.0	2.5009541903134864	4.686209887676387	4.686209887676387
JN555585+	141174	380.8333435058594	2.8517148338629057	4.457917942866053	4.457917942866053
JN555585+	135799	45.0	2.725536758042206	2.316431289481846	2.316431289481846
JN555585+	40822	71.0	3.294803800434946	3.533358576228369	3.533358576228369
JN555585+	141172	455.0	2.9732939489495642	5.089170228216216	5.089170228216216
JN555585+	139390	313.0	2.056777853725906	2.1891477835256232	2.1891477835256232
JN555585+	93310	663.0	2.371769531919382	2.1930924014413655	2.1930924014413655
JN555585+	84611	211.0	2.064699123756655	2.2804389474754343	2.2804389474754343
JN555585+	93316	884.0	2.7302345365638265	2.3836467196146485	2.3836467196146485
JN555585+	41862	401.0	3.5025557029412013	4.702805265799423	4.702805265799423
JN555585+	54922	34.0	2.77421231064664	3.198260842075895	3.198260842075895
JN555585+	62604	81.0	2.079569863165547	3.1216366270187894	3.1216366270187894
JN555585+	62605	99.0	2.3134405786299914	3.2825767367860186	3.2825767367860186
JN555585+	62608	161.5	2.9063681167800643	3.676666043375606	3.676666043375606
JN555585+	111761	38.0	2.2771730163291943	2.4459341737451616	2.4459341737451616
JN555585+	109205	40.0	2.1632794246015443	2.184023702016523	2.184023702016523
JN555585+	111766	29.0	2.0868380329758076	2.113353441171763	2.113353441171763
JN555585+	97946	393.0	2.218183734221595	2.4986953403406376	2.4986953403406376
JN555585+	22943	823.0	3.6157172773686357	5.1846047919818545	5.1846047919818545
JN555585+	90019	174.0	2.0945128111270392	2.000448506048094	2.000448506048094
JN555585+	27043	23.0	2.325998039461844	2.4868395642996317	2.4868395642996317
JN555585+	43939	26.0	2.265938401474124	2.556136308437476	2.556136308437476
JN555585+	101286	25.0	2.493616370976877	2.382703881403699	2.382703881403699
JN555585+	58792	20.0	2.0015022565037928	2.0315179546604054	2.0315179546604054
JN555585+	84393	1436.1602783203125	3.5304935498804624	6.362768888996764	6.362768888996764
JN555585+	84392	452.0	2.5225993484550684	5.263011799327055	5.263011799327055
JN555585+	119464	82.0	3.192023206650539	3.4867210864969462	3.4867210864969462
JN555585+	89773	461.5	2.9674363489470554	3.211635504538311	3.211635504538311
JN555585+	96173	2509.0	3.3662931697628506	5.692600828261899	5.692600828261899
JN555585+	96174	645.0	2.031217604902113	3.758424086508092	3.758424086508092
JN555585+	51634	2202.0	3.759051040007338	4.753347855578762	4.753347855578762
JN555585+	51635	476.0	2.2427648653676298	3.169756877705125	3.169756877705125
JN555585+	108985	23.0	2.3361449665288054	2.054469877734542	2.054469877734542
JN555585+	14010	76.0	2.038156260855196	2.2526661076073484	2.2526661076073484
JN555585+	14011	77.0	2.0788098769462096	2.252445441896486	2.252445441896486
JN555585+	14012	129.0	2.6096068410410833	2.7434850701686258	2.7434850701686258
JN555585+	136894	87.0	2.391577451292458	2.0590192136776913	2.0590192136776913
JN555585+	113598	129.0	2.1381026881740275	2.9896613541899564	2.9896613541899564
JN555585+	117950	11.0	2.10168870988482	2.366040450671308	2.366040450671308
JN555585+	91076	97.0	3.5114340616385347	3.9420155410893045	3.9420155410893045
JN555585+	86217	101.5	2.240054307257082	2.16571322528619	2.16571322528619
JN555585+	69064	117.0	2.922546579616333	3.149226156525693	3.149226156525693
JN555585+	86216	579.0	3.9349495927379428	3.9364943966514767	3.9364943966514767
JN555585+	20437	58.0	2.2920379365413446	2.2602724372929393	2.2602724372929393
JN555585+	117978	14.0	2.3212744774253995	2.4805925190019993	2.4805925190019993
JN555585+	133593	616.0	2.622326576086565	2.115349248024552	2.115349248024552
JN555585+	134622	25.0	2.4277421048441337	2.1716130209112627	2.1716130209112627
JN555585+	134620	26.0	2.431015289212347	2.238549023216293	2.238549023216293
JN555585+	134621	27.0	2.4870385914544872	2.25972396640963	2.25972396640963
JN555585+	20448	76.0	2.839230852962932	2.3442284983936332	2.3442284983936332
JN555585+	50663	556.0	3.574754626521734	3.8986511896674365	3.8986511896674365
JN555585+	50665	138.0	2.2541071792664673	2.418689640828752	2.418689640828752
JN555585+	50666	420.0	3.4036471170366123	3.491008343683363	3.491008343683363
JN555585+	51434	304.0	3.1306672761512098	2.6363973290043647	2.6363973290043647
JN555585+	49387	95.0	2.0289989941246693	2.2400813841313276	2.2400813841313276
JN555585+	118252	29.0	2.349822816457526	2.1649349656726513	2.1649349656726513
JN555585+	23027	300.0	2.9810953183979	2.8326617701977512	2.8326617701977512
JN555585+	23029	623.0	3.752190151700524	3.496440438796837	3.496440438796837
JN555585+	115444	31.0	2.7873512143242176	2.921071426054132	2.921071426054132
JN555585+	48630	487.0	3.915306710556583	4.827165099576792	4.827165099576792
JN555585+	103415	17.0	2.204350940870926	2.0030143123567252	2.0030143123567252
JN555585+	48631	200.0	3.057643784835852	3.820533315032533	3.820533315032533
JN555585+	10232	232.0	2.603476620753578	2.195953491712182	2.195953491712182
JN555585+	48632	81.0	2.198568952997639	2.704789131386915	2.704789131386915
JN555585+	10233	761.0	3.8287573413196903	3.3649036398668883	3.3649036398668883
JN555585+	25339	19.0	2.29235666604784	2.335176564648501	2.335176564648501
JN555585+	62206	28.0	2.0684525694436457	2.418297710647174	2.418297710647174
JN555585+	137213	91.0	2.4500045051377097	2.366747791117895	2.366747791117895
