Ref	Pos	Value1	Value2
JN555585-	131267	2.520146050926461	2.8493415274362524
JN555585-	115845	3.9172811118348507	3.219332023006743
JN555585-	20679	2.9498511016247093	2.6228271354179364
JN555585-	60552	2.923626682127773	2.57024256055046
JN555585-	65675	2.745869202748924	2.6371027570106924
JN555585-	124621	2.5864716024948744	3.3624475745620375
JN555585-	41613	3.3953791937047195	3.8506568931218386
JN555585-	124622	4.061589209564394	4.7437170256975945
JN555585-	131405	2.594676122927079	2.968973615376435
JN555585-	124624	3.321909314529103	3.6837622198744944
JN555585-	85202	2.8045546952153835	2.848237182836494
JN555585-	34133	2.69645579087013	2.5790288369009127
JN555585-	33814	2.8080089558367076	2.5805911859358144
JN555585-	130840	3.083693045409733	2.899652646472445
JN555585-	130842	2.637466686409509	2.5515961137530434
JN555585-	124255	2.541414633660529	3.4988568381309717
JN555585-	85413	2.5818193879116835	2.6187186605121644
JN555585-	27045	2.908294867771399	3.68555334231195
JN555585-	47909	2.944409670531707	3.8653387171136884
JN555585-	85412	2.73221172001094	2.698041747342639
JN555585-	119591	2.6175224500000933	2.8887928818305784
JN555585-	106538	2.7534540978849718	2.777197119636342
JN555585-	106541	2.6692444667324526	2.8115406336311213
JN555585-	19634	2.8530141765607624	2.975692514853784
JN555585-	130996	2.561412743439296	2.772186664372273
JN555585-	26615	2.6969450418414724	3.3646740107651767
JN555585-	31607	3.231456286312101	4.095230080689162
JN555585+	69441	5.0708839694303585	4.006599652672767
JN555585+	91076	3.9420155410893045	3.5114340616385347
JN555585+	41862	4.702805265799423	3.5025557029412013
JN555585+	92934	5.591811737437398	3.3719765236016963
JN555585+	69064	3.149226156525693	2.922546579616333
JN555585+	86216	3.9364943966514767	3.9349495927379428
JN555585+	54922	3.198260842075895	2.77421231064664
JN555585+	106829	4.344061177243221	2.5616548358509026
JN555585+	62608	3.676666043375606	2.9063681167800643
JN555585+	106833	4.726052377949989	3.203543256681982
JN555585+	115027	2.5568827886723393	2.5057798522374193
JN555585+	136734	4.681190543550372	3.546049417340678
JN555585+	136735	3.740254499221126	2.676313582296894
JN555585+	22943	5.1846047919818545	3.6157172773686357
JN555585+	136736	3.8240485555619004	2.823279700527985
JN555585+	132129	6.621735043595639	3.4394633293780776
JN555585+	50663	3.8986511896674365	3.574754626521734
JN555585+	138341	4.9544568623733625	2.961191661732964
JN555585+	84393	6.362768888996764	3.5304935498804624
JN555585+	84392	5.263011799327055	2.5225993484550684
JN555585+	119464	3.4867210864969462	3.192023206650539
JN555585+	50666	3.491008343683363	3.4036471170366123
JN555585+	51434	2.6363973290043647	3.1306672761512098
JN555585+	138345	3.805143582142865	3.006121940477858
JN555585+	89773	3.211635504538311	2.9674363489470554
JN555585+	96173	5.692600828261899	3.3662931697628506
JN555585+	47407	3.3222777410046382	2.852365653010799
JN555585+	141171	4.686209887676387	2.5009541903134864
JN555585+	51634	4.753347855578762	3.759051040007338
JN555585+	23027	2.8326617701977512	2.9810953183979
JN555585+	134966	2.9132121994015687	2.7801989813264014
JN555585+	141174	4.457917942866053	2.8517148338629057
JN555585+	23029	3.496440438796837	3.752190151700524
JN555585+	115444	2.921071426054132	2.7873512143242176
JN555585+	40822	3.533358576228369	3.294803800434946
JN555585+	48630	4.827165099576792	3.915306710556583
JN555585+	141172	5.089170228216216	2.9732939489495642
JN555585+	48631	3.820533315032533	3.057643784835852
JN555585+	10233	3.3649036398668883	3.8287573413196903
JN555585+	14012	2.7434850701686258	2.6096068410410833
