Reference (Strand)	Position	Read-count	pValue
JN555585-	57344	3.0	8.780799133836957E-8
JN555585-	131074	37.0	8.409393746341624E-11
JN555585-	57345	8.0	8.780799133836957E-8
JN555585-	131075	12.844755172729492	2.0256782998980348E-10
JN555585-	57346	20.0	1.5702902102193156E-8
JN555585-	131072	21.0	8.409393746341624E-11
JN555585-	57347	15.0	6.962891285681608E-9
JN555585-	131073	21.0	8.409393746341624E-11
JN555585-	57348	15.0	6.962891285681608E-9
JN555585-	131078	17.0	1.5702902102193156E-8
JN555585-	57349	4.0	6.962891285681608E-9
JN555585-	131079	20.0	1.5702902102193156E-8
JN555585-	57350	4.0	1.5702902102193156E-8
JN555585-	131076	15.0	1.1207404970692351E-9
JN555585-	57351	3.0	7.035389395010262E-10
JN555585-	131077	36.0	1.1207404970692351E-9
JN555585-	57352	5.0	1.6250693013153223E-9
JN555585-	131082	25.0	3.502518091711236E-8
JN555585-	57353	8.0	1.6250693013153223E-9
JN555585-	131083	5.0	3.502518091711236E-8
JN555585-	57354	4.0	1.7235692916748875E-8
JN555585-	131080	14.5	3.502518091711236E-8
JN555585-	57355	10.0	3.774771663508733E-8
JN555585-	131081	27.33333396911621	3.502518091711236E-8
JN555585-	57356	4.0	3.774771663508733E-8
JN555585-	131086	14.0	7.727016317087053E-8
JN555585-	57357	4.0	8.161325653492634E-8
JN555585-	131087	16.0	7.727016317087053E-8
JN555585-	57358	11.0	8.161325653492634E-8
JN555585-	131084	8.0	7.727016317087053E-8
JN555585-	57359	4.0	3.134739674339986E-7
JN555585-	131085	16.0	3.502518091711236E-8
JN555585-	57360	14.0	1.9476867461967072E-7
JN555585-	131090	17.0	4.0466877563747704E-7
JN555585-	57361	5.0	9.24689787398401E-8
JN555585-	57362	5.0	1.9476867461967072E-7
JN555585-	131088	43.0	7.727016317087053E-8
JN555585-	57363	5.0	4.0448305117340626E-7
JN555585-	131089	17.0	1.6861162480022187E-7
JN555585-	24621	9.0	2.990594384059263E-7
JN555585-	24622	6.0	1.4351835873454692E-7
JN555585-	24623	3.0	2.990594384059263E-7
JN555585-	24624	4.0	2.990594384059263E-7
JN555585-	24625	4.0	2.990594384059263E-7
JN555585-	24626	12.0	1.9476867461967072E-7
JN555585-	24627	14.0	1.4556319603041119E-8
JN555585-	24628	22.0	6.677511375725711E-9
