Reference (Strand)	Position	Read-count	Fold-change
JN555585-	86017	10.0	2.77595972588207
JN555585-	86021	20.0	3.8262329323632938
JN555585-	86020	46.0	5.167418145931737
JN555585-	86023	9.0	2.619024336894789
JN555585-	86022	11.0	2.9184124656037382
JN555585-	143369	5.0	2.0291463457595165
JN555585-	28684	406.0	6.722352319098075
JN555585-	28685	110.0	4.368578188286183
JN555585-	28686	27.0	2.2338367653625055
JN555585-	28687	330.0	6.287370872950994
JN555585-	143378	5.0	2.0291463457595165
JN555585-	120848	4.0	1.8956633402852643
JN555585-	112659	8.0	2.5145731729297585
JN555585-	34838	4.0	1.9091465696488863
JN555585-	38935	16.0	3.8494403235246186
JN555585-	79894	6.0	2.0096501701337197
JN555585-	137242	4.0	1.9091465696488863
JN555585-	73753	7.0	1.9876867386611485
JN555585-	73755	16.0	3.209227962238
JN555585-	59420	4.0	1.8300749986576879
JN555585-	61468	9.0	2.4387417599701124
JN555585-	137244	5.0	2.237863830198888
JN555585-	61474	49.0	5.058893689153569
JN555585-	61475	7.0	2.0588936891535687
JN555585-	61476	22.0	3.7768583213897187
JN555585-	104488	11.0	2.0211387671581504
JN555585-	106539	313.0	5.093097113212289
JN555585-	106538	901.0	7.177309458732821
JN555585-	43051	10.0	3.3219280949873626
JN555585-	106541	587.0	6.230048085677424
JN555585-	104494	19.0	2.8203213407616863
JN555585-	100402	7.0	2.395928676431139
JN555585-	104498	17.0	2.6227945743468952
JN555585-	104501	12.0	2.104697378766693
JN555585-	145462	435.0	6.076691232249165
JN555585-	104502	14.0	2.332270039208822
JN555585-	24631	17.0	3.777122720738189
JN555585-	145461	746.0	7.260592015348852
JN555585-	24632	5.0	1.9434164717336324
JN555585-	79928	8.0	2.458980846966441
JN555585-	24634	14.0	3.4796675579815575
JN555585-	145464	131.0	4.041561071081127
JN555585-	79931	6.0	2.034061836173633
JN555585-	145465	102.0	3.654503434074233
JN555585-	79930	7.0	2.261386553052312
JN555585-	41023	17.0	4.0000000001
JN555585-	41024	5.0	2.1552126500209403
JN555585-	67652	8.0	2.92275700116754
JN555585-	73796	7.0	1.9917794932950315
JN555585-	73798	32.0	4.299560281958908
JN555585-	116808	10.0	2.9213901654036336
JN555585-	116811	12.0	3.1953956890584307
JN555585-	104524	38.0	3.8501245516810956
JN555585-	133204	5.0	2.204233052317608
JN555585-	63583	7.0	2.093659107314245
JN555585-	26721	13.0	3.4988058570714418
JN555585-	24682	9.0	2.830787616622727
JN555585-	116844	7.0	2.3905151802447753
JN555585-	39028	4.0	1.8236772274595372
JN555585-	137336	4.0	1.8956633402852643
JN555585-	47231	4.0	1.9159357353115256
JN555585-	102533	6.0	2.014499569795115
JN555585-	112774	13.0	3.5563933486243853
JN555585-	135306	103.0	4.076509232070539
JN555585-	135305	994.0	9.234636017191196
JN555585-	102538	7.0	2.2466399676831252
JN555585-	102541	56.0	5.502843880347651
JN555585-	53400	8.0	2.6896598794878495
JN555585-	114847	4.0	1.855953630483293
JN555585-	114848	5.0	2.1844245712374275
JN555585-	63650	8.0	2.295128035643647
JN555585-	63652	55.0	5.301094591570197
JN555585-	63654	25.0	4.016249351745075
JN555585-	145580	5.0	1.8996950943043145
JN555585-	145581	22.0	4.131744254561251
JN555585-	84146	522.0	8.6887686117503
JN555585-	63670	9.0	2.4694852834012204
JN555585-	35000	4.0	1.9296106722086022
JN555585-	69823	22.0	4.382188619804837
JN555585-	80062	8.0	2.823677227459537
JN555585-	104647	10.0	1.9077925620029113
JN555585-	20679	44.0	5.3484003063485535
JN555585-	104649	10.0	1.9050883530745333
JN555585-	104648	13.0	2.2917278572116633
JN555585-	55497	6.0	2.487102038332546
JN555585-	22731	6.0	2.263034405933794
JN555585-	88271	8.0	2.9503692323753996
JN555585-	12494	497.0	8.306337482545384
JN555585-	12495	47.0	3.6210162135166137
JN555585-	104656	10.0	1.9296106722086022
JN555585-	12497	46.0	3.588102208351724
JN555585-	104661	18.0	2.8053525692464563
JN555585-	104663	11.0	2.0726206722650806
JN555585-	121046	9.0	2.742318828760413
JN555585-	104662	15.0	2.5367263151683086
JN555585-	73942	48.0	5.2863041852566415
JN555585-	100568	7.0	2.612007323835385
JN555585-	121051	8.0	2.5670405928238935
JN555585-	121050	10.0	2.899695094304315
JN555585-	69853	4.0	1.810966175709983
JN555585-	137439	20.0	4.231074664536249
JN555585-	121052	9.0	2.747692000859265
JN555585-	104668	10.0	1.9323612832246366
JN555585-	92383	5.0	2.0528949485321255
JN555585-	73952	5.0	1.7958592833197748
JN555585-	100581	5.0	2.11403524334603
JN555585-	39142	10.0	2.272297327262762
JN555585-	104680	12.0	2.209227962238
JN555585-	92395	8.0	2.755112940976465
JN555585-	104687	12.0	2.209227962238
JN555585-	104686	14.0	2.4371906416173945
JN555585-	104688	17.0	2.725694481931186
JN555585-	43249	5.0	2.265344566620995
JN555585-	80119	5.0	2.077041035863828
JN555585-	39161	8.0	1.9538582184552793
JN555585-	59641	4.0	1.9091465696488863
JN555585-	39162	44.0	4.544867095243357
JN555585-	92412	5.0	2.0588936891535687
JN555585-	22782	6.0	2.1466696492420096
JN555585-	106751	9.0	2.6487264246641047
JN555585-	67838	4.0	1.9399526164300613
JN555585-	49409	5.0	2.237863830198888
JN555585-	37122	4.0	1.8429562899544198
JN555585-	53509	8.0	2.400682206401774
JN555585-	37129	5.0	2.1648843848417822
JN555585-	39177	19.0	3.240732012139382
JN555585-	37130	4.0	1.8365012678171204
JN555585-	39179	8.0	1.9538582184552793
JN555585-	22802	7.0	2.3374689458831406
JN555585-	53523	8.0	2.4441838450383604
JN555585-	123154	7.0	2.473682297774165
JN555585-	53524	15.0	3.385839858807555
JN555585-	53526	11.0	2.9184124656037382
JN555585-	14614	4.0	1.9159357353115256
JN555585-	106774	6.0	2.0587463624833684
JN555585-	106776	39.0	4.940406675543423
JN555585-	78107	4.0	1.8956633402852643
JN555585-	106778	7.0	2.291191418280275
JN555585-	112924	5.0	2.0709665214541437
JN555585-	112930	7.0	2.568568062570488
JN555585-	31011	5.0	1.894321922205463
JN555585-	90407	4.0	1.8046524017777807
JN555585-	123177	6.0	2.0588936891535687
JN555585-	28974	4.0	1.9091465696488863
JN555585-	90416	9.0	3.006426269259433
JN555585-	55605	4.0	1.8954148355596394
JN555585-	22841	14.0	3.379748749375705
JN555585-	112954	6.0	2.334000927287937
JN555585-	112957	5.0	2.0649174767813383
JN555585-	55613	9.0	3.1130846060549864
JN555585-	24894	4.0	1.9145753435231327
JN555585-	41279	20.0	3.8730271438422346
JN555585-	49481	4.0	1.8889686877112561
JN555585-	90440	5.0	2.139235797471172
JN555585-	16723	6.0	2.473931188432412
JN555585-	117083	5.0	1.9885043612621705
JN555585-	117085	16.0	3.730966853644763
JN555585-	117084	7.0	2.485426827270242
JN555585-	117086	14.0	3.526398608326548
JN555585-	43360	12.0	3.4606343658189544
JN555585-	131427	45.0	4.554508704279442
JN555585-	100706	5.0	2.0707240723038973
JN555585-	131430	34.0	4.109267211668688
JN555585-	131429	129.0	6.431081771099874
JN555585-	18796	4.0	1.8956633402852643
JN555585-	41325	22.0	4.005255725551495
JN555585-	92539	4.0	1.8036834998240185
JN555585-	104831	12.0	2.693543313975078
JN555585-	139644	56.0	5.656795245582223
JN555585-	104833	9.0	2.2668867314294006
JN555585-	92545	6.0	2.4012927676612588
JN555585-	63872	4.0	1.9227570011675397
JN555585-	133507	4.0	1.8494403235246186
JN555585-	43394	4.0	1.8300749986576879
JN555585-	104834	8.0	2.0931094044914818
JN555585-	123271	19.0	3.8861591541244325
JN555585-	98697	5.0	2.0954195651786827
JN555585-	123273	6.0	2.1520030935450496
JN555585-	104845	7.0	1.9004643265490857
JN555585-	41356	6.0	2.053893008095202
JN555585-	18830	9.0	3.0995356736509145
JN555585-	104846	12.0	2.697437230079569
JN555585-	115089	5.0	2.1844245712374275
JN555585-	135571	6.0	2.473931188432412
JN555585-	57748	8.0	2.6104331883372742
JN555585-	123284	6.0	2.2120104029093275
JN555585-	57750	18.0	3.8365012678171206
JN555585-	57751	5.0	1.9159357353115256
JN555585-	57754	5.0	1.9105018492608974
JN555585-	29085	7.0	2.6698513984076695
JN555585-	108959	10.0	3.1713684184119812
JN555585-	31134	6.0	1.9573556626915065
JN555585-	102814	9.0	2.7584987558158476
JN555585-	108961	4.0	1.810966175709983
JN555585-	47520	12.0	3.4507415602770024
JN555585-	31136	12.0	2.98564470712293
JN555585-	102816	5.0	1.8996950943043145
JN555585-	117155	5.0	2.0174170531774096
JN555585-	35235	5.0	2.0053367322819304
JN555585-	102818	9.0	2.7693870719585836
JN555585-	57765	5.0	1.9050883530745333
JN555585-	27045	1159.0	9.89178370331831
JN555585-	102822	12.0	3.206450877567426
JN555585-	121263	5.0	1.9323612832246366
JN555585-	61870	18.0	3.9483572127089075
JN555585-	102833	8.0	2.5994620705162714
JN555585-	74161	5.0	2.11403524334603
JN555585-	61873	8.0	2.723801134783724
JN555585-	41394	5.0	1.9050883530745333
JN555585-	61875	7.0	2.52521169309324
JN555585-	104885	9.0	2.317926164429866
JN555585-	61876	10.0	3.0516981874641527
JN555585-	104887	7.0	1.9513652248491236
JN555585-	88502	5.0	2.2863041852566415
JN555585-	47543	4.0	1.8204889490691845
JN555585-	121277	7.0	2.442782489861748
JN555585-	104893	7.0	1.9513652248491236
JN555585-	113089	22.0	4.021138767158151
JN555585-	113090	36.0	4.808156642123159
JN555585-	29126	7.0	2.6830267871554025
